Time;Open;High;Low;Close;Volumn;MA5;MA10;MA20;MA50;MA8;MA13;MA21;MO5;MO8;MO10;MO12;MO13;MO21;RSI5;RSI8;RSI9;RSI10;RSI12;RSI13;RSI14;RSI21;RSI25,
1971.03.22;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.056;100.037;100.037;100.093;99.9443;100.037;63.0452;56.4198;55.5976;55.0749;54.5805;54.519;54.5449;55.7721;56.537,
1971.03.23;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.056;100.056;99.9814;100.019;100.093;99.9814;63.0452;56.4198;55.5976;55.0749;54.5805;54.519;54.5449;55.7721;56.537,
1971.03.24;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;100;100.019;100.019;100.019;100;99.9814;49.0314;51.1263;51.3062;51.4746;51.8555;52.0851;52.3421;54.4102;55.3998,
1971.03.25;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.019;100.056;100.056;99.9814;100.037;99.9629;60.1139;55.8594;55.1967;54.7605;54.3423;54.2956;54.3284;55.5499;56.3151,
1971.03.26;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100;100.056;100.037;100.037;99.9814;100.037;60.1139;55.8594;55.1967;54.7605;54.3423;54.2956;54.3284;55.5499;56.3151,
1971.03.29;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;99.9443;99.9629;100;100;99.9814;100.093;29.7705;40.4935;42.3496;43.7805;45.8812;46.7088;47.4481;51.3074;52.7887,
1971.03.30;0.5388;0.5388;0.5388;0.5388;1;0;0;0;0;0;0;0;100.019;100.037;100.074;100.056;100.074;100.093;61.8582;58.0696;57.2683;56.6559;55.8744;55.6584;55.5341;56.0108;56.5662,
1971.03.31;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.019;100;100.019;100.056;100.037;100.019;54.1296;53.5505;53.383;53.2672;53.1955;53.237;53.325;54.6257;55.4116,
1971.04.01;0.5388;0.5388;0.5388;0.5388;1;0;0;0;0;0;0;0;100.019;100.019;100.037;100.074;100.074;99.9629;60.3258;57.3442;56.6887;56.1794;55.5219;55.3418;55.2423;55.7741;56.3399,
1971.04.02;0.5389;0.5389;0.5389;0.5389;1;0;0;0;0;0;0;0;100.037;100.037;100.037;100.056;100.093;100.13;66.057;60.986;59.8887;59.0171;57.8096;57.418;57.1384;56.9189;57.2666,
1971.04.05;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.019;99.9814;99.9629;99.9814;99.9814;99.9814;38.3541;43.8659;44.9456;45.8276;47.2131;47.7899;48.3205;51.3375;52.6134,
1971.04.06;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;99.9443;99.9629;99.9629;99.9629;99.9814;100;38.3541;43.8659;44.9456;45.8276;47.2131;47.7899;48.3205;51.3375;52.6134,
1971.04.07;0.5386;0.5386;0.5386;0.5386;1;0;0;0;0;0;0;0;99.9814;99.9814;100;99.9814;99.9814;99.9629;47.0314;48.5793;48.974;49.3232;49.943;50.2382;50.5339;52.6181;53.6353,
1971.04.08;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;99.9814;100.056;100;100;100;100.037;54.9568;53.0817;52.8549;52.7134;52.6162;52.6438;52.7148;53.8921;54.6541,
1971.04.09;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;99.9629;99.9814;100;100.019;100;100.056;54.9568;53.0817;52.8549;52.7134;52.6162;52.6438;52.7148;53.8921;54.6541,
1971.04.12;0.5381;0.5381;0.5381;0.5381;1;0;0;0;0;0;0;0;99.9257;99.8886;99.9443;99.8886;99.9072;99.9257;22.8727;31.4803;33.5043;35.2468;38.091;39.2741;40.3387;45.7539;47.8145,
1971.04.13;0.5378;0.5378;0.5378;0.5378;1;0;0;0;0;0;0;0;99.87;99.8144;99.8144;99.8329;99.8329;99.8886;16.758;25.541;27.7828;29.7672;33.1059;34.5247;35.8115;42.3929;44.8887,
1971.04.14;0.5382;0.5382;0.5382;0.5382;1;0;0;0;0;0;0;0;99.9257;99.8701;99.9072;99.9629;99.9072;99.9629;42.4153;42.1675;42.5092;42.9149;43.8035;44.261;44.7199;47.7648;49.2055,
1971.04.15;0.5379;0.5379;0.5379;0.5379;1;0;0;0;0;0;0;0;99.8515;99.8886;99.833;99.833;99.9071;99.87;32.9066;35.3933;36.2689;37.1236;38.7353;39.4898;40.2123;44.4972;46.368,
1971.04.16;0.5377;0.5377;0.5377;0.5377;1;0;0;0;0;0;0;0;99.8144;99.8514;99.7773;99.8144;99.7958;99.8329;27.7267;31.5336;32.6718;33.7499;35.7288;36.6375;37.4986;42.4637;44.5827,
1971.04.19;0.5367;0.5367;0.5367;0.5367;1;0;0;0;0;0;0;0;99.7398;99.6472;99.6657;99.6102;99.6287;99.6287;13.9765;19.4274;20.9719;22.427;25.1017;26.3344;27.5043;34.2472;37.1354,
1971.04.20;0.5374;0.5374;0.5374;0.5374;1;0;0;0;0;0;0;0;99.9256;99.7587;99.7957;99.7217;99.7402;99.7587;40.0086;38.3592;38.3559;38.48;38.9649;39.2827;39.6331;42.4341;43.9611,
1971.04.21;0.5378;0.5378;0.5378;0.5378;1;0;0;0;0;0;0;0;99.9257;99.8329;99.8515;99.87;99.7959;99.8329;50.6712;46.5595;45.9931;45.6245;45.2788;45.2411;45.2681;46.4358;47.363,
1971.04.22;0.5381;0.5381;0.5381;0.5381;1;0;0;0;0;0;0;0;100.037;100;99.8886;99.9257;99.9257;99.9072;57.7168;52.0296;51.1043;50.4224;49.5489;49.2848;49.1053;49.2158;49.7464,
1971.04.23;0.5373;0.5373;0.5373;0.5373;1;0;0;0;0;0;0;0;99.9256;99.907;99.7401;99.7586;99.7772;99.7401;39.101;39.6583;39.8033;39.972;40.3819;40.6194;40.8755;42.9711;44.1885,
1971.04.26;0.5375;0.5375;0.5375;0.5375;1;0;0;0;0;0;0;0;100.149;99.8699;99.8885;99.7772;99.7958;99.7772;44.6771;43.4969;43.328;43.2398;43.2455;43.3185;43.4281;44.8093;45.7664,
1971.04.27;0.5379;0.5379;0.5379;0.5379;1;0;0;0;0;0;0;0;100.093;100;100.019;99.8515;99.8515;99.9071;54.9822;50.6696;49.9251;49.3652;48.6292;48.4003;48.2412;48.3084;48.7831,
1971.04.28;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;100.112;100.13;100.037;100.056;99.9443;99.9258;65.1308;58.2424;56.9692;55.9653;54.5131;53.9866;53.5599;52.2792;52.2421,
1971.04.29;0.5383;0.5383;0.5383;0.5383;1;0;0;0;0;0;0;0;100.037;100.298;100.074;100.093;100.037;99.9257;61.6559;56.268;55.2214;54.3899;53.184;52.7493;52.4001;51.4493;51.5172,
1971.04.30;0.5384;0.5384;0.5384;0.5384;1;0;0;0;0;0;0;0;100.205;100.186;100.13;100.037;100.112;99.9258;64.0532;57.8991;56.7153;55.7732;54.3969;53.8941;53.4848;52.2453;52.208,
1971.05.03;0.5385;0.5385;0.5385;0.5385;1;0;0;0;0;0;0;0;100.186;100.13;100.335;100.112;100.056;99.9258;66.6588;59.6202;58.2812;57.2151;55.6504;55.0733;54.599;53.0535;52.9068,
1971.05.04;0.5387;0.5387;0.5387;0.5387;1;0;0;0;0;0;0;0;100.149;100.112;100.242;100.186;100.149;100.037;71.7738;63.071;61.4213;60.1053;58.1596;57.4321;56.8263;54.6648;54.2991,
1971.05.05;0.5465;0.5465;0.5465;0.5465;1;0;0;0;0;0;0;0;101.504;101.712;101.618;101.826;101.637;101.486;96.671;92.3209;91.0333;89.8417;87.7197;86.7732;85.8933;81.1534;79.237,
1971.05.06;0.5458;0.5458;0.5458;0.5458;1;0;0;0;0;0;0;0;101.393;101.544;101.431;101.563;101.696;101.337;87.9668;85.3845;84.486;83.6262;82.0448;81.3234;80.6458;76.9185;75.3912,
1971.05.07;0.5479;0.5479;0.5479;0.5479;1;0;0;0;0;0;0;0;101.764;101.859;101.973;101.878;101.954;101.708;91.0042;88.3783;87.5163;86.6946;85.1821;84.4894;83.8362;80.177;78.6321,
1971.05.10;0.5525;0.5525;0.5525;0.5525;1;0;0;0;0;0;0;0;102.6;102.619;102.791;102.676;102.733;102.562;94.6807;92.3176;91.5726;90.8622;89.5467;88.9388;88.3618;85.0359;83.5695,
1971.05.11;0.548;0.548;0.548;0.548;1;0;0;0;0;0;0;0;101.726;101.802;101.878;101.991;101.84;101.84;63.1309;66.9469;67.4517;67.784;68.1305;68.2039;68.2348;67.9323;67.6424,
1971.05.12;0.5493;0.5493;0.5493;0.5493;1;0;0;0;0;0;0;0;100.512;102.025;102.025;102.195;102.233;102.138;67.0909;69.6965;70.0184;70.2125;70.3642;70.3661;70.3369;69.7763;69.3975,
1971.05.13;0.5516;0.5516;0.5516;0.5516;1;0;0;0;0;0;0;0;101.063;102.433;102.471;102.547;102.623;102.49;73.4075;74.0597;74.0858;74.0569;73.8956;73.7831;73.6582;72.6932;72.1786,
1971.05.14;0.5515;0.5515;0.5515;0.5515;1;0;0;0;0;0;0;0;100.657;102.376;102.433;102.433;102.528;102.528;72.6496;73.5336;73.5974;73.5981;73.4803;73.3845;73.2741;72.3744;71.8828,
1971.05.17;0.5513;0.5513;0.5513;0.5513;1;0;0;0;0;0;0;0;99.7828;100.878;102.377;102.415;102.396;102.529;70.8217;72.3587;72.5218;72.5984;72.5902;72.5356;72.4601;71.7137;71.2741,
1971.05.18;0.5517;0.5517;0.5517;0.5517;1;0;0;0;0;0;0;0;100.675;101.081;102.413;102.47;102.489;102.795;72.5484;73.3326;73.3966;73.4013;73.296;73.2071;73.1036;72.2457;71.772,
1971.05.19;0.5537;0.5537;0.5537;0.5537;1;0;0;0;0;0;0;0;100.801;101.059;101.317;102.823;102.842;103.033;79.9604;77.8018;77.4372;77.1247;76.5846;76.3408;76.1095;74.74;74.1095,
1971.05.20;0.5577;0.5577;0.5577;0.5577;1;0;0;0;0;0;0;0;101.106;100.941;102.18;103.527;103.565;103.7;88.0361;83.95;83.1839;82.5523;81.5436;81.1241;80.7444;78.7503;77.9189,
1971.05.21;0.5586;0.5586;0.5586;0.5586;1;0;0;0;0;0;0;0;101.287;101.934;101.953;102.214;103.694;103.81;89.254;85.0171;84.2024;83.5293;82.4557;82.0107;81.609;79.5185;78.655,
1971.05.24;0.5573;0.5573;0.5573;0.5573;1;0;0;0;0;0;0;0;101.088;101.456;100.869;102.107;101.976;103.722;75.3957;76.609;76.6578;76.6415;76.499;76.3961;76.2813;75.3851;74.8983,
1971.05.25;0.5529;0.5529;0.5529;0.5529;1;0;0;0;0;0;0;0;100.218;100.236;100.894;100.913;101.301;102.865;45.5039;55.4112;57.1573;58.5004;60.3906;61.0667;61.6188;63.6308;64.1039,
1971.05.26;0.5514;0.5514;0.5514;0.5514;1;0;0;0;0;0;0;0;99.5846;99.9819;100.382;99.8009;100.639;102.51;38.9272;50.0189;52.0766;53.6868;56.0048;56.8535;57.557;60.267;60.9829,
1971.05.27;0.5515;0.5515;0.5515;0.5515;1;0;0;0;0;0;0;0;98.8883;100.036;99.9819;100.639;99.819;102.433;39.654;50.3867;52.394;53.9674;56.2359;57.0674;57.7569;60.4135;61.1144,
1971.05.28;0.5514;0.5514;0.5514;0.5514;1;0;0;0;0;0;0;0;98.7111;99.9456;99.9819;100.382;100.62;102.434;39.0728;49.9665;52.0065;53.6066;55.9155;56.7625;57.4654;60.1806;60.9006,
1971.06.01;0.5478;0.5478;0.5478;0.5478;1;0;0;0;0;0;0;0;98.2954;98.9344;99.3651;99.3111;99.7269;101.746;23.5433;37.2002;40.0201;42.2949;45.6895;46.9748;48.0614;52.5244;53.8387,
1971.06.02;0.5509;0.5509;0.5509;0.5509;1;0;0;0;0;0;0;0;99.6383;98.7807;99.855;99.8912;99.8731;102.303;46.4518;49.818;50.9678;51.9882;53.652;54.3224;54.9049;57.4221;58.1877,
1971.06.03;0.5543;0.5543;0.5543;0.5543;1;0;0;0;0;0;0;0;100.526;99.2302;100.108;100.544;100.508;102.896;62.0435;59.9136;59.9806;60.1465;60.5689;60.7797;60.9779;61.9433;62.2509,
1971.06.04;0.5545;0.5545;0.5545;0.5545;1;0;0;0;0;0;0;0;100.544;99.4976;99.4262;100.508;100.58;101.464;62.8391;60.4485;60.4616;60.5843;60.943;61.1299;61.308;62.1913;62.4744,
1971.06.07;0.5554;0.5554;0.5554;0.5554;1;0;0;0;0;0;0;0;100.725;100.452;99.4271;100.307;100.671;101.759;66.7584;62.9885;62.7292;62.6363;62.6808;62.7512;62.8317;63.3205;63.4874,
1971.06.08;0.5559;0.5559;0.5559;0.5559;1;0;0;0;0;0;0;0;101.479;100.816;99.7488;99.6772;100.397;101.46;69.027;64.4385;64.0189;63.7996;63.6608;63.6633;63.6872;63.9486;64.0491,
1971.06.09;0.5571;0.5571;0.5571;0.5571;1;0;0;0;0;0;0;0;101.125;101.015;100.76;99.7315;99.8924;100.833;74.2906;67.8891;67.0934;66.5749;65.9984;65.8384;65.7262;65.44;65.3805,
1971.06.10;0.5573;0.5573;0.5573;0.5573;1;0;0;0;0;0;0;0;100.541;101.07;101.07;100;99.7673;101.697;75.1697;68.4718;67.6123;67.0428;66.3915;66.2037;66.0682;65.6884;65.6017,
1971.06.11;0.5577;0.5577;0.5577;0.5577;1;0;0;0;0;0;0;0;100.577;101.807;101.124;100.868;100.072;101.529;77.1251;69.7275;68.722;68.0371;67.2183;66.9689;66.7821;66.1986;66.0535,
1971.06.14;0.5577;0.5577;0.5577;0.5577;1;0;0;0;0;0;0;0;100.414;101.234;101.143;101.143;100.868;101.106;77.1251;69.7275;68.722;68.0371;67.2183;66.9689;66.7821;66.1986;66.0535,
1971.06.15;0.5577;0.5577;0.5577;0.5577;1;0;0;0;0;0;0;0;100.324;100.613;101.807;101.124;101.143;101.124;77.1251;69.7275;68.722;68.0371;67.2183;66.9689;66.7821;66.1986;66.0535,
1971.06.16;0.5578;0.5578;0.5578;0.5578;1;0;0;0;0;0;0;0;100.126;100.595;101.252;101.161;101.142;101.179;77.9722;70.1708;69.0989;68.3644;67.478;67.2049;66.9989;66.3435;66.179,
1971.06.17;0.5582;0.5582;0.5582;0.5582;1;0;0;0;0;0;0;0;100.161;100.504;100.704;101.899;101.233;101.178;81.4134;72.0425;70.6883;69.7415;68.5647;68.1899;67.9013;66.9385;66.6921,
1971.06.18;0.5579;0.5579;0.5579;0.5579;1;0;0;0;0;0;0;0;100.036;100.36;100.613;101.271;101.844;100.759;71.0129;68.3656;67.7482;67.3002;66.7401;66.5655;66.434;66.0194;65.9108,
1971.06.21;0.558;0.558;0.558;0.558;1;0;0;0;0;0;0;0;100.054;100.162;100.468;100.668;101.289;100.054;72.4779;68.9689;68.2435;67.7187;67.0589;66.8507;66.6924;66.1819;66.0489,
1971.06.22;0.5583;0.5583;0.5583;0.5583;1;0;0;0;0;0;0;0;100.108;100.179;100.432;100.685;100.722;99.9463;76.8628;70.8735;69.8084;69.0396;68.0607;67.7447;67.5006;66.6838;66.4734,
1971.06.23;0.5598;0.5598;0.5598;0.5598;1;0;0;0;0;0;0;0;100.359;100.377;100.485;100.792;100.956;100.449;88.4069;78.4364;76.3609;74.7739;72.6051;71.8563;71.2562;69.0921;68.523,
1971.06.24;0.5592;0.5592;0.5592;0.5592;1;0;0;0;0;0;0;0;100.179;100.269;100.341;100.594;100.684;101.139;70.7555;70.1139;69.5668;69.0868;68.3608;68.095;67.8773;67.0563;66.8209,
1971.06.25;0.5586;0.5586;0.5586;0.5586;1;0;0;0;0;0;0;0;100.125;100.161;100.161;100.269;100.486;101.306;56.6236;62.5312;63.237;63.7034;64.2627;64.4407;64.5795;65.0439;65.1356,
1971.06.28;0.5582;0.5582;0.5582;0.5582;1;0;0;0;0;0;0;0;100.036;100.072;100.09;100.161;100.197;101.215;48.5439;57.7709;59.1973;60.227;61.578;62.0363;62.4028;63.7056;64.0143,
1971.06.29;0.5588;0.5588;0.5588;0.5588;1;0;0;0;0;0;0;0;100.09;100.107;100.197;100.197;100.269;101.342;59.4049;62.6457;63.1678;63.5428;64.0365;64.2065;64.3442;64.8448;64.9569,
